unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1659970800000,2022-08-08 15:00:00,ETH/GBP,1480.83000000,1484.50000000,1461.10000000,1469.00000000,511.77510000,753510.27059300,954
1659967200000,2022-08-08 14:00:00,ETH/GBP,1485.99000000,1488.31000000,1480.00000000,1481.13000000,382.29460000,567121.99429000,816
1659963600000,2022-08-08 13:00:00,ETH/GBP,1492.63000000,1492.64000000,1480.50000000,1484.43000000,432.75070000,643234.50040900,895
1659960000000,2022-08-08 12:00:00,ETH/GBP,1477.47000000,1500.00000000,1475.46000000,1492.08000000,680.15850000,1012922.96123700,1267
1659956400000,2022-08-08 11:00:00,ETH/GBP,1465.40000000,1481.16000000,1461.26000000,1478.91000000,342.68150000,503443.81504800,765
1659952800000,2022-08-08 10:00:00,ETH/GBP,1464.01000000,1468.50000000,1460.98000000,1465.40000000,346.01550000,507173.76553600,723
1659949200000,2022-08-08 09:00:00,ETH/GBP,1468.26000000,1471.85000000,1463.66000000,1464.21000000,489.50970000,718889.84000400,1044
1659945600000,2022-08-08 08:00:00,ETH/GBP,1431.28000000,1470.09000000,1428.19000000,1468.57000000,618.24750000,895964.04408600,1449
1659942000000,2022-08-08 07:00:00,ETH/GBP,1436.24000000,1438.49000000,1429.00000000,1431.51000000,351.72520000,504048.00041100,733
1659938400000,2022-08-08 06:00:00,ETH/GBP,1428.34000000,1440.00000000,1428.34000000,1436.10000000,395.61780000,567352.76389000,829
1659934800000,2022-08-08 05:00:00,ETH/GBP,1418.89000000,1429.09000000,1418.74000000,1428.17000000,351.09150000,500194.99436100,645
1659931200000,2022-08-08 04:00:00,ETH/GBP,1416.28000000,1420.09000000,1415.87000000,1418.46000000,176.57890000,250384.02008400,326
1659927600000,2022-08-08 03:00:00,ETH/GBP,1421.13000000,1422.44000000,1416.03000000,1416.03000000,149.37030000,212028.09402000,270
1659924000000,2022-08-08 02:00:00,ETH/GBP,1410.86000000,1423.53000000,1409.92000000,1420.82000000,289.28570000,409798.45581700,473
1659920400000,2022-08-08 01:00:00,ETH/GBP,1415.82000000,1417.11000000,1405.57000000,1410.74000000,322.96210000,455487.77871800,594
1659916800000,2022-08-08 00:00:00,ETH/GBP,1410.82000000,1425.94000000,1407.21000000,1416.36000000,264.03520000,374204.79873000,572
1659913200000,2022-08-07 23:00:00,ETH/GBP,1413.58000000,1414.03000000,1402.09000000,1410.71000000,348.94010000,490993.99971800,616
1659909600000,2022-08-07 22:00:00,ETH/GBP,1423.52000000,1425.12000000,1412.09000000,1413.58000000,301.40160000,427160.07195500,537
1659906000000,2022-08-07 21:00:00,ETH/GBP,1427.56000000,1433.43000000,1420.00000000,1423.38000000,253.12970000,360831.42048200,579
1659902400000,2022-08-07 20:00:00,ETH/GBP,1416.25000000,1428.72000000,1416.23000000,1427.23000000,195.42510000,278295.20112400,571
1659898800000,2022-08-07 19:00:00,ETH/GBP,1415.81000000,1418.61000000,1414.30000000,1416.13000000,167.68990000,237528.68186100,401
1659895200000,2022-08-07 18:00:00,ETH/GBP,1419.77000000,1420.37000000,1414.00000000,1415.79000000,237.68330000,336908.15396400,513
